,index,nodeModulation,Contrast,Pathway
121,GAPDH,0.882822848297208,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
122,GIT1,34.900334299429844,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
123,GNA12,0.1819301253662699,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
124,GNA13,3.390254833332473,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
125,GNB1,2.7342278148097705,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
126,GNB2,4.915925107241852,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
127,GNB3,3.5638897575388566,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
128,GNB4,8.672789805211574,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
129,GNB5,0.12920405469088939,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
130,GNG10,0.10248290876627962,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
131,GNG12,0.177592283783237,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
132,GNG2,0.12731439667393535,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
133,GNG3,0.3906461922717216,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
134,GNG5,1.9694180788079472,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
135,GNG7,0.5503600446781256,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
136,GNGT2,0.48380625275577477,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
137,GRB2,0.955545800644422,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
138,GSK3B,0.026233242574183593,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
139,GSN,1.0676104628327228,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
140,HCK,0.11826742898602888,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
141,HIF1A,0.7150766924075861,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
142,HMOX1,0.4548183894045894,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
143,HRAS,0.1650175710732868,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
144,HSPB1,6.878314077992365,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
145,ICAM1,9.271271498327312,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
146,ICAM2,60.59426076135917,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
147,ICAM3,0.9629597337205035,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
148,IFNAR1,13.404418313657073,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
149,IFNAR2,0.02305925549152052,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
150,IFNG,1.6001351672141806,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
151,IFNGR1,0.32318391672122554,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
152,IFNGR2,0.0175170176915769,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
153,IFNLR1,0.14812205312580737,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
154,IGF1R,135.24013197324803,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
155,IKBKB,970.6275262565027,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
156,IKBKE,0.0854006517709376,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
157,IKBKG,26.23404087574539,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
158,IL10RA,1.6871638154190072,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
159,IL10RB,0.03585870150749552,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
160,IL11,0.2315872583575498,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
161,IL11RA,0.34391727302359765,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
162,IL12RB1,0.2827815297172494,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
163,IL15RA,2.1800784263269293,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
164,IL17D,0.5180754481394727,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
165,IL1B,1.5803823956802623,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
166,IL1RAP,4.808299038516157,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
167,IL20RB,0.622728360231002,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
168,IL21R,0.000534391961783534,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
169,IL23A,0.9628953327508099,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
170,IL27RA,0.00878404419661788,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
171,IL2RA,7.288471370206265,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
172,IL2RG,0.3407840579873591,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
173,IL4R,0.8916507565774212,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
174,IL6ST,0.3648087049483011,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
175,IL7R,10.98433825513332,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
176,INSR,1.7838438629359956,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
177,IQGAP1,333.52685204420607,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
178,IRAK1,0.22694520349912514,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
179,IRAK4,1.6026792141025363,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
180,IRF1,0.3446929135855729,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
181,IRF9,0.06625190912470798,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
182,IRS1,26.273210154311393,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
183,ITCH,1.077508202638393,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
184,ITGA10,4.3162585978443255,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
185,ITGA11,2.6538894467693233,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
186,ITGA3,0.28605663073295423,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
187,ITGA4,64.76945287160055,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
188,ITGA6,0.16335309682776583,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
189,ITGA7,0.14516067958442078,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
190,ITGAE,0.5283138317416007,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
191,ITGAL,34.731666947029396,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
192,ITGAV,1.6427883517829034,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
193,ITGB1,1.4134645475457293,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
194,ITGB4,1.2636688653320358,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
195,ITGB7,33.35255700689511,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
196,JAK1,3.589365748765425,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
197,JAK2,0.20320117031844323,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
198,JAK3,1.5700069893854784,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
199,JAM3,0.36489242009259093,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
200,KRAS,2.0636800733027725,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
201,KSR1,0.149172411207697,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
202,LAMB4,0.1291079448917446,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
203,LAMC1,0.8915819710491543,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
204,LAMTOR1,76.70735833244046,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
205,LAMTOR2,1.9645848258955312,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
206,LAMTOR3,1.6204872992708623,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
207,LAMTOR4,0.6723251166833996,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
208,LAMTOR5,3.9324447868485017,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
209,LAT,0.22719088512431343,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
210,LEPR,1.5414347828529245,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
211,LIMK1,34.04256689595604,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
212,LIMK2,0.08776597399100936,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
213,LPAR2,0.09031232370467174,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
214,LPAR3,0.4289040654889364,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
215,LPAR5,2.618423943197361,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
216,LSP1,123.95998443938502,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
217,LTA,1.5182390398290677,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
218,LYN,22.4112483690475,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
219,MADCAM1,0.032797010433004356,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
220,MALT1,2.128466840229092,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
221,MAP2K1,1.203684268472568,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
222,MAP2K2,1.4905057251761835,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
223,MAP2K3,1.688229603736448,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
224,MAP2K4,14.502116451726595,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
225,MAP2K5,0.6537753946814473,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
226,MAP2K6,2.1671838685023,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
227,MAP2K7,6.087851194204237,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
228,MAP3K1,1422.6741554348826,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
229,MAP3K11,5.908843177111252,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
230,MAP3K12,0.5421373919077147,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
231,MAP3K13,1.2594492750321435,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
232,MAP3K14,0.9996374232888368,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
233,MAP3K2,21.82858511760612,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
234,MAP3K3,0.2271159750700185,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
235,MAP3K4,0.21815253920820324,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
236,MAP3K5,102.55620341611166,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
237,MAP3K6,0.026444315645054024,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
238,MAP3K7,50.02442693852022,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
239,MAP3K8,5.780513102193442,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
240,MAP4K1,54.70994655107155,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
241,MAP4K2,28.712275263624882,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
242,MAP4K3,0.3277186348408475,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
243,MAP4K4,21.72942590041384,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
244,MAPK7,0.8075793851028538,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
245,MAPK8IP1,0.4751437198278928,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
246,MAPK8IP2,2.4735810268770946,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
247,MAPK8IP3,114.73968636116165,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
248,MAPKAP1,0.17162132008202075,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
249,MAPKAPK2,0.17732393735860966,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
250,MAPKAPK3,5.389244493353956,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
251,MAPKAPK5,0.3630631881253976,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
252,MCL1,0.5295103058090943,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
253,MDM2,1.8702017533349062,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
254,MLKL,10.236747856699637,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
255,MLST8,0.17320293828165104,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
256,MSN,2.704747675569379,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
257,MTOR,517.4324096256402,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
258,MYB,0.9134211318930744,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
259,MYC,4.867335387753074,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
260,MYD88,13.28891764612017,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
261,MYL2,0.2628411669409087,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
262,MYL5,0.6747679038555667,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
263,MYLPF,0.7482688025831616,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
264,NCF1,0.44906272250032386,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
265,NCF2,12.457168040270552,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
266,NCF4,1.5753914323900242,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
267,NCKAP1,1.0225237763162276,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
268,NF1,36.87599458924595,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
269,NFATC1,7.526005369963179,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
270,NFATC2,1.1877285860047613,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
271,NFATC3,42.51520512199117,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
272,NFATC4,0.24675074362495136,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
273,NFKB1,522.415153277221,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
274,NFKB2,18.198139711665853,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
275,NFKBIA,0.879184670037272,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
276,NFKBIB,21.55443714914594,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
277,NLK,0.025205656355980516,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
278,NOS3,0.5187637690846877,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
279,NR4A1,1.7077187617809626,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
280,NRAS,21.14901100027314,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
281,NTF3,3.3224448908194057,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
282,OSM,0.5274331327512688,"1% O2, CyA+_vs_1% O2, CyA-",metaNetwork
