"","Node Modulation
Score","Importance
Score","Phosphoproteomics
log2 FC","Proteomics
log2 FC","Transcriptomics
log2 FC","Evidence
Score","Phosphoproteomics
SD","Proteomics
SD","Transcriptomics
SD"
"121",30.7055220094075,0.0662287135565933,0.692756535236056,0,0.116170017707087,2,0.52719195196898,0,0.0884902143458765
"122",24.7966788322962,0.0662287135565933,0.570697868662642,0,0.0267763618177135,2,0.52719195196898,0,0.0884902143458765
"123",5.90884317711125,0.0662287135565933,0.122058666573413,0,0.0893936558893733,2,0.52719195196898,0,0.0884902143458765
"130",21.716053357905,0.063130593406223,0.260962601960625,0.0377278331644932,0.0593990117171295,3,0.678140791753788,0.130757414532553,0.0644528542602464
"131",7.04855221883357,0.063130593406223,0.0763638051745934,0.0460146965914054,0.0385090674159789,3,0.678140791753788,0.130757414532553,0.0644528542602464
"132",28.1841999434876,0.063130593406223,0.337326407135218,0.0837425297558987,0.0208899443011505,3,0.678140791753788,0.130757414532553,0.0644528542602464
"133",23.3953418273943,0.0626795430996315,0.521848355569645,0.0267432506401999,0.0717660041840302,3,0.363032156395074,0.323075209617123,0.0480110267232252
"134",19.4591647914519,0.0626795430996315,0.169443395885898,0.32392252383111,0.0304391393338932,3,0.363032156395074,0.323075209617123,0.0480110267232252
"135",42.5152051219912,0.0626795430996315,0.691291751455543,0.35066577447131,0.041326864850137,3,0.363032156395074,0.323075209617123,0.0480110267232252
"139",2001.49694318542,0.0612547786637813,7.16009216132011,0,0.267475612720554,2,3.68400597803846,0,0.320852001653566
"140",2116.23662954659,0.0612547786637813,7.55266988297363,0,0.488203083382357,2,3.68400597803846,0,0.320852001653566
"141",114.739686361162,0.0612547786637813,0.39257772165352,0,0.220727470661803,2,3.68400597803846,0,0.320852001653566
"142",24.2313566491443,0.0615500681555733,0.406873420244191,0.0401568774648009,0.0145538003666381,3,0.516234470354738,0.0409533328471638,0.0603806536859967
"143",55.9270805744593,0.0615500681555733,0.941752508996116,0.00728968333943492,0.0686818550206887,3,0.516234470354738,0.0409533328471638,0.0603806536859967
"144",32.2029528155569,0.0615500681555733,0.534879088751925,0.032867194125366,0.0832356553873268,3,0.516234470354738,0.0409533328471638,0.0603806536859967
"145",154.742360157127,0.246266009135835,0.319661276436662,0,0.0310193055997861,2,1.58685128371173,0,0.0532972818829429
"146",1577.05344920152,0.246266009135835,3.26777332654693,0,0.0198176766729858,2,1.58685128371173,0,0.0532972818829429
"147",1422.67415543488,0.246266009135835,2.94811205011027,0,0.0112016289268002,2,1.58685128371173,0,0.0532972818829429
"151",20.3348663157981,0.0676134433626475,0.177700629797133,0.0292285774788192,0.164764610514037,3,0.802388905009311,0.104269660546841,0.101687412846004
"152",35.4618854074174,0.0676134433626475,0.340337936995817,0.0845030281954857,0.0127033401553405,3,0.802388905009311,0.104269660546841,0.101687412846004
"153",54.7099465510716,0.0676134433626475,0.51803856679295,0.0552744507166665,0.152061270358697,3,0.802388905009311,0.104269660546841,0.101687412846004
"166",23.9399664914081,0.0618657510826504,0.283488598873316,0.000626881797806789,0.0528477996422323,3,0.726781517033502,0.111030174711934,0.0536209209883242
"167",102.463686368634,0.0618657510826504,1.21208531436087,0.107181142498834,0.0267989532394628,3,0.726781517033502,0.111030174711934,0.0536209209883242
"168",126.058404839089,0.0618657510826504,1.49557391323418,0.106554260701027,0.0260488464027695,3,0.726781517033502,0.111030174711934,0.0536209209883242
"172",39.6763642610045,0.793681695059629,0.0298233845539801,0.0685312657111918,0.0818232596304078,3,0.442620717332891,0.129904007998512,0.0597468671496579
"173",547.719263994668,0.793681695059629,0.808825613736273,0.111373659666468,0.00233675175952897,3,0.442620717332891,0.129904007998512,0.0597468671496579
"174",522.415153277221,0.793681695059629,0.779002229182293,0.0428423939552758,0.0841600113899368,3,0.442620717332891,0.129904007998512,0.0597468671496579
"178",8.67473910844934,0.694879958502537,0,0.0256376823286875,0.0916208536820129,2,0,0.178816557910511,0.0603166137453732
"179",24.456487938162,0.694879958502537,0,0.15539811878522,0.0118890449305891,2,0,0.178816557910511,0.0603166137453732
"180",31.9007060219703,0.694879958502537,0,0.181035801113907,0.0797318087514238,2,0,0.178816557910511,0.0603166137453732
"184",451.584754992464,0.439499884701445,0.590772446160702,0.126457170893693,0.142922372399427,3,0.845641176827383,0.276015929546539,0.142023102135043
