,index,ImportanceScore,Pathway
289,TLR2,0.06173345843060685,metaNetwork
290,IL2RA,0.06339097464979102,metaNetwork
291,IL2RG,0.06184534468886801,metaNetwork
292,IL4R,0.06136806055221261,metaNetwork
293,IL7R,0.062332122220719474,metaNetwork
294,IFNAR1,0.08699239287413801,metaNetwork
295,IFNAR2,0.06305542634619794,metaNetwork
296,EPOR,0.06120949940612465,metaNetwork
297,JAK1,0.1506241185877088,metaNetwork
298,OSM,0.16062867499625186,metaNetwork
299,CREB1,0.06190159266664994,metaNetwork
300,CREB3,0.08877105808552574,metaNetwork
301,CREB5,0.07413378605018905,metaNetwork
302,ATF6B,0.0624820753609463,metaNetwork
303,PKN1,0.06041243194985198,metaNetwork
304,PKN2,0.0614854509322449,metaNetwork
305,PKN3,0.06222965808591874,metaNetwork
306,SGK3,0.0629091602224442,metaNetwork
307,CCND2,0.062447516020264715,metaNetwork
308,CCND3,0.062399922374972154,metaNetwork
309,NFATC2,0.07476873006943821,metaNetwork
310,SH2D2A,0.062015399698188374,metaNetwork
311,LSP1,0.2537994575169977,metaNetwork
312,KSR1,0.06195690277318247,metaNetwork
313,PLK3,0.06248349593622392,metaNetwork
314,IL23A,0.14563847666438215,metaNetwork
315,PTPN11,0.06169770010495322,metaNetwork
316,CASP1,0.06143858847016821,metaNetwork
317,PYCARD,0.1057809040017414,metaNetwork
318,CASP8,0.19469135793966116,metaNetwork
319,ARHGEF12,0.10367999335623017,metaNetwork
320,IKBKE,0.09498926336332354,metaNetwork
321,IRF9,0.0719176908848657,metaNetwork
322,IL17D,0.12425475462771247,metaNetwork
323,BCL3,0.07551890558305255,metaNetwork
324,CARD9,0.8020887616006501,metaNetwork
325,CBLB,0.41945936664194494,metaNetwork
326,IRF1,0.062354307492232745,metaNetwork
327,NFATC4,0.14442054280555205,metaNetwork
328,EGR2,0.06085031804289619,metaNetwork
329,EGR3,0.0625276529880057,metaNetwork
330,ITGAL,0.5742628915597969,metaNetwork
331,CD226,0.06191986771157238,metaNetwork
332,SELL,0.1049105928504203,metaNetwork
333,MADCAM1,0.06171804818549741,metaNetwork
334,ICAM3,0.06253555993915745,metaNetwork
335,ICAM2,0.3345075525650804,metaNetwork
336,JAM3,0.06232825832075691,metaNetwork
337,F11R,0.10421229084982765,metaNetwork
338,PTPN6,0.06331430116444296,metaNetwork
339,STAM,0.17489763251939164,metaNetwork
340,PTPN2,0.08447305396735542,metaNetwork
341,PIM1,0.06072757353570018,metaNetwork
342,SOCS1,0.06111164201715001,metaNetwork
343,SOCS4,0.06272482980842428,metaNetwork
344,SOCS5,0.06110241427115064,metaNetwork
345,STAT5A,0.12471842651077279,metaNetwork
346,STAT6,0.1768095499595555,metaNetwork
347,PIAS1,0.07346260229710783,metaNetwork
348,PIAS2,0.13314869070591595,metaNetwork
349,PIAS3,0.06279991620180315,metaNetwork
350,TYK2,0.06179291590423266,metaNetwork
351,IL10RA,0.06311511610088964,metaNetwork
352,IL10RB,0.06433380965162995,metaNetwork
353,IL11RA,0.06228718506739418,metaNetwork
354,IL12RB1,0.06162998677263316,metaNetwork
355,IL15RA,0.06174770435472485,metaNetwork
356,IL20RB,0.08055216415300462,metaNetwork
357,IL21R,0.07082413462786653,metaNetwork
358,IL27RA,0.06238555237324157,metaNetwork
359,IL6ST,0.0622447842159727,metaNetwork
360,IFNLR1,0.06226568789209295,metaNetwork
361,CSF2RB,0.06276560825597115,metaNetwork
362,LEPR,0.06199467063782063,metaNetwork
363,IL11,0.06961918777513186,metaNetwork
364,CTF1,0.08713213277463816,metaNetwork
365,CNTF,0.20466939931874664,metaNetwork
366,FADD,0.17222781111776334,metaNetwork
367,CASP7,0.061858084187663115,metaNetwork
368,TNFRSF1B,0.11930232824888692,metaNetwork
369,RIPK3,0.19337019798638297,metaNetwork
370,BAG4,0.0629785374258306,metaNetwork
371,CASP10,0.08667671642630966,metaNetwork
372,MLKL,0.14958058666615232,metaNetwork
373,PGAM5,0.10556360846618261,metaNetwork
374,DNM1L,0.06164928067941379,metaNetwork
375,ITCH,0.06248691114821402,metaNetwork
376,DAB2IP,0.0611366282678765,metaNetwork
377,SIPA1,0.06261385291271827,metaNetwork
378,CYBA,0.0622981962265984,metaNetwork
