,Pathway,P-value,Contrast,-log10Pvalue
119,hsa05412,0.5713626626547028,"1% O2, CyA+ vs 1% O2, CyA-",0.24308814325471287
120,hsa04924,0.5261113281022183,"1% O2, CyA+ vs 1% O2, CyA-",0.2789223469781342
121,hsa05143,0.7342753458155848,"1% O2, CyA+ vs 1% O2, CyA-",0.1341410535108269
122,hsa04960,0.3886418277693153,"1% O2, CyA+ vs 1% O2, CyA-",0.4104504600619448
123,hsa05162,0.7541843227049557,"1% O2, CyA+ vs 1% O2, CyA-",0.12252249955369947
124,hsa00730,0.6589751753210626,"1% O2, CyA+ vs 1% O2, CyA-",0.18113094568542584
125,hsa05030,0.6804252201069967,"1% O2, CyA+ vs 1% O2, CyA-",0.16721959754284252
126,hsa00750,0.6683756896527892,"1% O2, CyA+ vs 1% O2, CyA-",0.17497935477154128
127,hsa04623,0.5800637806902772,"1% O2, CyA+ vs 1% O2, CyA-",0.2365242511285558
128,hsa00650,0.646508282154449,"1% O2, CyA+ vs 1% O2, CyA-",0.1894259071781174
129,hsa05010,0.24873656521171655,"1% O2, CyA+ vs 1% O2, CyA-",0.6042603671128308
130,hsa05031,0.2644949237063404,"1% O2, CyA+ vs 1% O2, CyA-",0.5775826587043364
131,hsa00071,0.6781890310080827,"1% O2, CyA+ vs 1% O2, CyA-",0.1686492387560835
132,hsa00561,0.5137765024370978,"1% O2, CyA+ vs 1% O2, CyA-",0.28922576206901607
133,hsa04614,0.5958693256321559,"1% O2, CyA+ vs 1% O2, CyA-",0.22484897076177884
134,hsa04971,0.1996140734176628,"1% O2, CyA+ vs 1% O2, CyA-",0.6998088428473974
135,hsa04215,0.5015700688742505,"1% O2, CyA+ vs 1% O2, CyA-",0.29966838786832267
136,hsa04080,0.8668172566751025,"1% O2, CyA+ vs 1% O2, CyA-",0.062072451292953225
137,hsa05231,0.4931246602189815,"1% O2, CyA+ vs 1% O2, CyA-",0.3070432786912644
138,hsa05166,0.31170745519601734,"1% O2, CyA+ vs 1% O2, CyA-",0.5062528104540795
139,hsa00790,0.6913789484606643,"1% O2, CyA+ vs 1% O2, CyA-",0.16028384826274272
140,hsa00983,0.5453220585658982,"1% O2, CyA+ vs 1% O2, CyA-",0.26334693451620567
141,hsa04721,0.6791483456637897,"1% O2, CyA+ vs 1% O2, CyA-",0.16803535286755983
142,hsa04218,0.06253824359924809,"1% O2, CyA+ vs 1% O2, CyA-",1.203854320180807
143,hsa04530,0.415274160839795,"1% O2, CyA+ vs 1% O2, CyA-",0.3816650906907671
144,hsa04340,0.5507195321155359,"1% O2, CyA+ vs 1% O2, CyA-",0.25906952032356667
145,hsa04725,0.0012652649213938103,"1% O2, CyA+ vs 1% O2, CyA-",2.8978185323113834
146,hsa04740,0.1711701685108617,"1% O2, CyA+ vs 1% O2, CyA-",0.7665719217850793
147,hsa04152,0.15582763108416098,"1% O2, CyA+ vs 1% O2, CyA-",0.8073555314939727
148,hsa03460,0.00029475913724958676,"1% O2, CyA+ vs 1% O2, CyA-",3.5305327233132173
149,hsa05214,0.39709323989971346,"1% O2, CyA+ vs 1% O2, CyA-",0.40110750628600755
150,hsa00440,0.30216155056905347,"1% O2, CyA+ vs 1% O2, CyA-",0.5197607995537908
151,hsa04020,0.5316723332942568,"1% O2, CyA+ vs 1% O2, CyA-",0.27435593853904194
152,hsa04514,0.49142722700941416,"1% O2, CyA+ vs 1% O2, CyA-",0.30854078555968606
153,hsa04613,0.47009405917503627,"1% O2, CyA+ vs 1% O2, CyA-",0.3278152371840139
154,hsa00250,0.7336563776674504,"1% O2, CyA+ vs 1% O2, CyA-",0.1345073027891003
155,hsa04217,0.03940742318115302,"1% O2, CyA+ vs 1% O2, CyA-",1.4044219623633682
156,hsa04934,0.022217720165350837,"1% O2, CyA+ vs 1% O2, CyA-",1.653300507519624
157,hsa05140,0.6465796712548293,"1% O2, CyA+ vs 1% O2, CyA-",0.1893779539166042
158,hsa04919,0.33329998202152206,"1% O2, CyA+ vs 1% O2, CyA-",0.4771647097656745
159,hsa04550,0.24604844445927587,"1% O2, CyA+ vs 1% O2, CyA-",0.6089793762705764
160,hsa00061,0.6281704859444115,"1% O2, CyA+ vs 1% O2, CyA-",0.2019224724147386
161,hsa00532,0.7177145792744343,"1% O2, CyA+ vs 1% O2, CyA-",0.14404823164963027
162,hsa04742,0.6688061792048889,"1% O2, CyA+ vs 1% O2, CyA-",0.17469972303586312
163,hsa04261,0.39788913067445514,"1% O2, CyA+ vs 1% O2, CyA-",0.4002379245193103
164,hsa04910,0.46662379829450984,"1% O2, CyA+ vs 1% O2, CyA-",0.33103311551136155
165,hsa04015,0.6114131434092939,"1% O2, CyA+ vs 1% O2, CyA-",0.21366522957987386
166,hsa05208,0.5634306486243227,"1% O2, CyA+ vs 1% O2, CyA-",0.2491595326317648
167,hsa04914,0.0022195623094498295,"1% O2, CyA+ vs 1% O2, CyA-",2.653732658581668
168,hsa04130,0.4262264530400862,"1% O2, CyA+ vs 1% O2, CyA-",0.3703596000164037
169,hsa00640,0.5583562455191899,"1% O2, CyA+ vs 1% O2, CyA-",0.25308862167804513
170,hsa00450,0.6718186692964039,"1% O2, CyA+ vs 1% O2, CyA-",0.1727479316349452
171,hsa04621,0.40812724602161854,"1% O2, CyA+ vs 1% O2, CyA-",0.389204411348113
172,hsa05130,0.6456501926407332,"1% O2, CyA+ vs 1% O2, CyA-",0.19000271505863037
173,hsa04670,0.696823443620014,"1% O2, CyA+ vs 1% O2, CyA-",0.15687724654296473
174,hsa04928,0.4612414186408651,"1% O2, CyA+ vs 1% O2, CyA-",0.3360717007712855
175,hsa00130,0.6888469010846101,"1% O2, CyA+ vs 1% O2, CyA-",0.1618772910131646
176,hsa05100,0.5196893484837272,"1% O2, CyA+ vs 1% O2, CyA-",0.28425618435502553
177,hsa05414,0.7539322496396342,"1% O2, CyA+ vs 1% O2, CyA-",0.12266767923587063
178,hsa05321,0.7228333927040158,"1% O2, CyA+ vs 1% O2, CyA-",0.1409617925636453
179,hsa00051,0.6450271127813583,"1% O2, CyA+ vs 1% O2, CyA-",0.1904220300409208
180,hsa05230,0.2550481216961402,"1% O2, CyA+ vs 1% O2, CyA-",0.5933778704860795
181,hsa04727,0.702933807173938,"1% O2, CyA+ vs 1% O2, CyA-",0.15308556905210866
182,hsa04630,0.647846901910118,"1% O2, CyA+ vs 1% O2, CyA-",0.18852761374571636
183,hsa00603,0.7029194498483358,"1% O2, CyA+ vs 1% O2, CyA-",0.15309443954730867
184,hsa00340,0.7027463826619835,"1% O2, CyA+ vs 1% O2, CyA-",0.1532013812153392
185,hsa04610,0.7660339473252362,"1% O2, CyA+ vs 1% O2, CyA-",0.11575198388000116
186,hsa05205,0.4641420496724052,"1% O2, CyA+ vs 1% O2, CyA-",0.33334908421309256
187,hsa04140,,"1% O2, CyA+ vs 1% O2, CyA-",
188,hsa00010,0.5808208809969813,"1% O2, CyA+ vs 1% O2, CyA-",0.23595777877705096
189,hsa04144,0.011199835298026465,"1% O2, CyA+ vs 1% O2, CyA-",1.9507883639087655
190,hsa01521,0.26740850415780604,"1% O2, CyA+ vs 1% O2, CyA-",0.572824785368424
191,hsa05415,0.552668608388517,"1% O2, CyA+ vs 1% O2, CyA-",0.2575352026713843
192,hsa05133,0.6500623747637277,"1% O2, CyA+ vs 1% O2, CyA-",0.18704496994786252
193,hsa04620,0.6727270382143841,"1% O2, CyA+ vs 1% O2, CyA-",0.17216111682243582
194,hsa00980,0.729882499246076,"1% O2, CyA+ vs 1% O2, CyA-",0.13674704951841604
195,hsa01524,0.4036041032278199,"1% O2, CyA+ vs 1% O2, CyA-",0.3940444271721395
196,hsa00630,0.7181552061012834,"1% O2, CyA+ vs 1% O2, CyA-",0.14378168685923917
197,hsa05022,,"1% O2, CyA+ vs 1% O2, CyA-",
