Gene,Ramos_19O2_NoCyclo_1,Ramos_1O2_NoCyclo_3,Ramos_1O2_NoCyclo_2,Ramos_19O2_NoCyclo_3,Ramos_1O2_NoCyclo_1,Ramos_1O2_PlusCyclo_1,Ramos_1O2_PlusCyclo_3,Ramos_1O2_PlusCyclo_2,Ramos_19O2_NoCyclo_2
RP11-206L10.9,0.9202746924067369,0.6334089197639214,0.44145197361211735,0.7317065526717803,0.7542033640882236,1.0662112016032734,0.7325961279952776,0.5690798976154601,0.6027598586104965
RP11-206L10.8,0.2750001996387016,0.29828001417669503,0.18172451437769732,0.13010289304856804,0.0,0.14297998896334413,0.13984756122247813,0.25511496058116945,0.06646422075930239
RP11-206L10.11,3.568908012335462,3.657832296324434,3.607220605371188,3.724774838860374,3.7789275697013753,3.7551037582411784,3.8207652427780707,3.593821696719249,3.5717977391215734
NCRNA00115,0.6087956591814982,0.4022293925522135,0.3931130774067179,0.5576392223817612,0.24259639693927426,0.3339489948515846,0.384454451876727,0.3675346243959416,0.19085694131537012
NOC2L,7.949335132568567,7.813073392619938,7.870879067057139,7.914225379344604,7.895391134267236,7.861707226101957,7.9090296628924825,7.807832176295061,7.97275031844252
KLHL17,1.5570163676184752,1.7801343789512394,1.5257403135474754,2.0570875494640295,1.6135787468109668,1.6725856289971017,1.886511260234194,1.4289569681199437,1.726923362355346
ISG15,2.5172431281996337,2.3208857274556385,2.31684666280773,2.404334917503788,2.221072721568171,2.3251175273120857,2.2983253549692146,2.32587275984057,2.254525638138904
AGRN,1.0720851102322557,0.9742690581085143,0.9221414031750208,1.2148736230513952,1.1609588575192418,0.9925824982215501,0.9759915107910615,0.786902130565011,0.9228039300070503
C1orf159,2.8678624119784017,2.7333688394228255,2.6507789338969743,2.8908900249167755,2.6152655513573886,2.9774838229606835,2.797975521749341,2.921559813127649,2.843236081797231
RP11-465B22.5,0.1440426203392791,0.3511907238329346,0.18172451437769732,0.13010289304856804,0.18566359313568445,0.14297998896334413,0.0,0.0,0.19085694131537012
