,Ramos_1O2_NoCyclo_3,Ramos_1O2_PlusCyclo_1,Ramos_1O2_NoCyclo_1,Ramos_19O2_NoCyclo_3,Ramos_19O2_NoCyclo_2,Ramos_1O2_PlusCyclo_2,Ramos_1O2_NoCyclo_2,Ramos_1O2_PlusCyclo_3,Ramos_19O2_NoCyclo_1
MIR6859-2,0.30447018830473277,0.06287507852973383,0.16125713670036787,0.2671284063507101,0.26736340329560837,0.22030339311914043,0.15504319618996604,0.23161526605142804,0.1831675824530855
AP006222.1,2.643291073741745,2.791715445608804,2.7560360110689377,2.7166480223904426,2.7617990898124334,2.641099510304068,2.498672940277207,2.904396078366702,2.6609992923189445
RPL23AP24,0.6306400608256458,0.5315218275181754,0.8065197729523004,0.45010347177261245,0.5339954106945223,0.4981960980527847,0.5018227992735235,0.4769880095426312,0.6659571623982765
RP4-669L17.2,0.055418967352059936,0.06287507852973383,0.0,0.11285230261187187,0.0575836813361312,0.05830906600001833,0.0,0.0,0.06367503324497491
RP4-669L17.4,2.4705777872279495,2.3995402763232594,2.339222720350661,2.7606143485036454,2.547407076715919,2.1451247029354783,2.2461081303308346,2.7164997331692295,2.5870858380475577
CICP7,0.6666771355793589,0.5315218275181754,0.5196668937523028,0.7232635850228868,0.6129431707774113,0.4981960980527847,0.4627676624341201,0.5645335072363069,0.3960198358550271
RP4-669L17.8,1.8259705712520549,1.8768484296545842,1.6636274325949534,2.047020406763221,1.7316656375190247,1.2644269469650489,1.3929700345889853,1.852890618630266,1.6419431780677263
RF00026,0.0,0.0,0.10948193896169282,0.11285230261187187,0.0,0.11435273196386748,0.053553906430085556,0.06148203427945259,0.0
RP11-206L10.17,0.9847868860898366,1.1098139485186087,0.6340219715394722,0.9828520579833744,0.9535173327356438,0.8348310252237191,0.7811901936389894,1.0624188341726664,0.8213993698215707
RP5-857K21.9,6.955611259377836,7.067180432671422,6.936098397407688,6.787580457066994,6.669958965778442,6.897825814998149,6.895193210361457,6.929587593381374,6.715654406451382
RP5-857K21.8,9.267569150928592,9.417504666791451,9.218336690201447,9.071578807539893,9.093974515899545,9.366337127532528,9.505582944508008,9.330626371248323,8.989255897027864
RP5-857K21.6,9.60716211737159,9.330843051659675,9.63981957409534,9.512117499912671,9.360506586578486,9.21004270957847,9.684450379831448,9.222487261355795,9.45859311520335
RP5-857K21.7,6.783211151215614,6.699665698840519,6.677364489505861,6.440272452223261,6.334343973824102,6.662001993143581,6.817023694396888,6.634455915948605,6.369390295877119
RP5-857K21.14,0.5167909859296527,1.2242622107918324,0.9310542434585598,0.8908922126526561,0.7589520659140128,0.8348310252237191,0.8125938188034223,0.9036121891822909,0.7064158255864842
RP5-857K21.10,9.245120462536379,9.34652526829699,9.188138480114713,9.202466821925785,9.079821920703171,9.199656850382672,9.192455851209266,9.234320019255218,9.139257165061448
