"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1947","MCM3",0.128885298964562,10.506464775386,0.574966213005125,0.580407983365514,0.713958459250337,-7.16944297963664
"1948","WNK1",0.185851050942949,8.34453871900262,0.572258103201646,0.582158844687653,0.715514403628484,-7.17110893860135
"1949","GRIPAP1",-0.125572411364109,8.8703819451796,-0.572085733350775,0.582270385249234,0.715514403628484,-7.17121472996037
"1950","ZFP36",-0.215009024488398,7.00522283042751,-0.571582553114748,0.582596061043503,0.715547469845738,-7.1715233864024
"1951","LRCH4",-0.368285987239157,6.55256757175053,-0.569553572525311,0.583910311442366,0.716794052231915,-7.1727654372938
"1952","TRAPPC8",-0.279070980864559,7.15016691152956,-0.568786265859751,0.584407753023721,0.717037176481461,-7.17323408313643
"1953","NEK2",-0.294371993452877,7.95187492735182,-0.567937496464628,0.58495827913422,0.717345150295165,-7.17375180264992
"1954","RPS27A",-0.223374868999356,8.37554971723912,-0.56700189928398,0.585565454692411,0.717722243596891,-7.17432165481638
"1955","STAT5A",-0.257516452330427,4.92984158030979,-0.565710446466618,0.586404140770844,0.718382566315178,-7.17510682179745
"1956","CHAMP1",0.0899190630586073,10.5653106151906,0.562079085426388,0.588765932092727,0.720907161228057,-7.17730569690744
"1957","LATS1",-0.330361296925235,8.10147319631172,-0.560943593273025,0.5895055110708,0.72125837912826,-7.17799057029424
"1958","CTNNBL1",0.260516783805853,7.27452246674126,0.560614412174641,0.589720011343398,0.72125837912826,-7.17818887611556
"1959","CHERP",0.332515132912728,7.236603695086,0.56008526871133,0.5900649001553,0.72125837912826,-7.1785074173304
"1960","DNAJC19",-0.362986149569072,4.88238381934487,-0.559790032575049,0.590257379161332,0.72125837912826,-7.17868502645631
"1961","FGD3",-0.133996388868569,7.69536771575899,-0.558291349806302,0.591234973548412,0.721672306521114,-7.17958526896534
"1962","DGKI",-0.136257993407209,6.7934223846547,-0.557843422518903,0.591527329072932,0.721672306521114,-7.17985389931785
"1963","SYK",0.331660813136394,6.7692070590872,0.557604539857655,0.59168327649776,0.721672306521114,-7.17999707988569
"1964","CXADR",-0.261752668928961,7.81315016157405,-0.55742358286246,0.591801423802701,0.721672306521114,-7.18010550329861
"1965","RPS6KB1",-0.190834722715639,8.94599328559987,-0.556137112797882,0.59264173416601,0.722329238334653,-7.18087537159085
