"Gene"	"Gr1_F2..126..Sample..1"	"Gr1_F1..126..Sample..1"	"Gr1_F2..128C..Sample..4"	"Gr2_F2..128N..Control..781"	"Gr1_F1..128C..Sample..4"	"Gr2_F1..128N..Control..781"	"Gr1_F3..126..Sample..1"	"Gr2_F3..128N..Control..781"	"Gr1_F3..128C..Sample..4"
"SMAD5"	7.43379405875492	7.44045394382303	6.99435343685886	7.6409679104499	6.93899143877554	6.98185265328974	6.7839804136838	6.69627208392586	6.68929916053589
"SLC23A2"	6.67525138605026	6.92718535782637	7.16892278185294	7.34784279363816	7.62131930101419	6.94485844580754	6.97384083953315	6.23074100262691	7.49185309632967
"MIGA2"	9.23218105768664	8.88539133157044	8.57326847767598	7.65320336203398	7.90448409790142	8.03121873061072	9.17342729734862	6.10013667128545	8.37677657188298
"ACTR8"	7.44790974874208	6.97842446544086	7.9242186797485	8.20847824221171	7.22207035524718	6.8972404255748	8.01066796290185	6.92243574023315	8.39274673242064
"CNNM3"	7.45368218587218	7.33628338786443	7.26303440583379	6.18189764310839	7.3741700760685	6.81121411751324	6.56985560833095	6.46597446450407	6.50303064564116
"SSBP3"	6.53605290024021	7.08214904135387	6.96578428466209	6.61028665708102	7.2460279805281	6.32553033156756	6.63081315229913	6.88264304936184	6.87528859822269
"EEF1G"	7.33091687811462	7.81698362325538	6.78135971352466	7.37937836707126	7.27798474729977	7.44045394382303	7.38370429247405	7.64673869830785	6.97269265400426
"SEC14L1"	7.42710328715284	7.10328780841202	7.38024459047818	6.78920757534734	7.10747864662662	7.22978016673333	6.99887245399427	6.05528243550119	6.8592241619782
"DDX41"	6.87405920314115	7.24982454861618	7.39145842004967	7.73944309777245	7.62643913669732	6.91647664443772	6.39403389536778	6.53915881110803	6.70043971814109
"CPEB4"	8.60473853445992	8.93339559512077	8.89087223954207	7.25266543245025	8.98242322677588	6.03782146543497	8.72349030214343	6.36981542428391	8.91647664443772
"ARFIP1"	9.1331422124006	7.93722667397948	9.05446865619548	8.19918154876397	7.85299758761332	8.46597446450407	8.84705734609134	7.3264294871223	8.78757612086964
"ETV6"	5.70043971814109	6.45121111183233	6.84172158112846	6.4245862262511	7.64601861092535	7.55765515472542	5.27798474729977	7.23840473932508	6.14567745519564
"MIA3"	8.03342300153745	7.45285896471381	8.29553937040683	8.62351574149055	7.63662462054365	7.60288440871842	7.35579154675365	6.5713734359732	7.86232740051799
"SUGP1"	6.55918586578773	6.60584986719498	6.32912359629157	6.91767043436176	6.25171909260596	7.38801728534513	6.51884982870769	7.17791779219584	6.15987133677839
"ASF1A"	7.9915218460757	6.08533966935737	7.80928581019891	7.6646250548693	5.86789646399265	5.37851162325373	8.16540952031982	7.08108392868763	7.96231765494231
"SLBP"	8.23026066466979	9.30218194087563	8.14210705730255	9.15532422905059	9.24816477930069	9.4446008137115	7.99265514938683	8.6560672737256	7.99265514938683
"WDR24"	7.45203527354619	6.8703647195834	7.11582397743624	7.13237119873254	6.3327079336406	7.3931759143488	7.39059890555246	7.1053847492476	6.87159726561385
"BLOC1S3"	6.37503943134692	3.88752527074159	7.87159726561385	7.34340782229781	5.86294724802092	8.07681559705083	3.95419631038688	6.67525138605026	6.17592374206376
"HDAC4"	7.97613447283165	7.99095486039699	7.51884982870769	7.2807707701306	7.32732808262995	7.39489136644259	7.26303440583379	6.84674402324487	6.74281466986289
