"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"16","SRGAP2",-9.31121921353023,6.25033804437311,-67.7474691740118,8.75184308048982e-13,1.22075410944128e-10,17.1029525641557
"17","PPP1R10",-10.3144012881778,7.09309274077228,-67.4687207295726,9.05923998408463e-13,1.22075410944128e-10,17.0898877342549
"18","MED24",-9.17919102627148,6.07469048321314,-66.9649611303858,9.64591225593327e-13,1.22075410944128e-10,17.0659570940335
"19","C1ORF52",-10.6920330882403,6.29377231512865,-66.9330532876543,9.68447936508738e-13,1.22075410944128e-10,17.0644273182038
"20","PI4KA",-11.0516442197203,7.06136555287443,-65.6606728949585,1.13726339205221e-12,1.34336366749299e-10,17.0020269517652
"21","NELFB",-8.90638368243664,6.07688611213605,-65.3859124445131,1.17789716147611e-12,1.34336366749299e-10,16.9881856573085
"22","WDR33",-8.54430572174116,5.77823312287072,-63.9532462035504,1.41792782969881e-12,1.51333203092056e-10,16.9138108633972
"23","SRP72",-11.1266904391836,7.46674688188753,-63.585114949049,1.48813183046125e-12,1.51333203092056e-10,16.8940842172493
"24","SPIN1",-8.46546294129623,5.72856698634854,-63.2110696202187,1.56347233786082e-12,1.51333203092056e-10,16.8737744161429
"25","TULP4",-8.4274620885162,5.77672975213551,-63.0125839277401,1.60517847749067e-12,1.51333203092056e-10,16.8628865707614
"26","FYTTD1",-9.79586438002025,6.68947146409534,-62.5778411509141,1.70094839230983e-12,1.51333203092056e-10,16.838767118334
"27","NFAT5",-8.91798828609314,5.91679250589382,-62.5554436396153,1.70605281147621e-12,1.51333203092056e-10,16.837514298414
"28","RAB3IP",-10.2414244767646,6.74611251478123,-61.0331617148174,2.09674322135464e-12,1.79346429112299e-10,16.7499482612476
"29","CWC15",-9.04411808086333,5.84114279518433,-59.6276228430786,2.54816720835188e-12,2.01423822851958e-10,16.6646742993368
"30","TINF2",-8.58512597853624,5.97819893110045,-59.4900825015307,2.59789232844491e-12,2.01423822851958e-10,16.6560907174292
"31","MECP2",-9.52243707821761,6.49684134332399,-59.3549640374084,2.64780145377908e-12,2.01423822851958e-10,16.6476157086391
"32","CADPS",-10.7944066791801,7.1775388925644,-59.146139628174,2.72705998596387e-12,2.01423822851958e-10,16.6344340425444
"33","TBC1D13",-7.82647386857886,4.99594458958736,-59.0221869077488,2.77535956330464e-12,2.01423822851958e-10,16.6265613807178
"34","MAPKAP1",-9.64232746906317,6.66304169950664,-58.5188812284037,2.9815576203266e-12,2.10024426490653e-10,16.5942196776812
"35","NEDD1",-9.01055351597231,5.21531800658108,-58.2588214440955,3.09477905589527e-12,2.11771309681976e-10,16.5772694999213
"36","MGMT",-7.88798423696422,4.32418111555485,-57.8868731314534,3.26516868675144e-12,2.17224416799158e-10,16.5527384628453
"37","ARHGAP1",-10.6082275400653,7.1312923140363,-57.6923044895202,3.35846495551415e-12,2.173925288772e-10,16.5397692249977
"38","ORC2",-8.51795907778648,5.83523068205589,-56.7776111767711,3.83898242546976e-12,2.36262477007364e-10,16.4775093353359
"39","PER1",-8.10280305436187,5.69983789463136,-56.7629610402389,3.84728041890906e-12,2.36262477007364e-10,16.476494537536
"40","TRPT1",-10.9132887036718,7.09532182343119,-55.4273247402992,4.69540010870202e-12,2.7767070715889e-10,16.381557815206
"41","RBM4",-10.2951227976064,7.03097333008286,-55.0624665222073,4.96212865520959e-12,2.7767070715889e-10,16.3547686007242
"42","BRD1",-7.43072950813342,4.97470533109961,-55.0491916518511,4.97214792568249e-12,2.7767070715889e-10,16.3537868016324
"43","COPA",-7.74983208090409,4.99446520456535,-55.0317855415316,4.98531958573373e-12,2.7767070715889e-10,16.3524986980176
"44","ASH1L",-8.09841301177521,5.54184968122155,-53.9926302604293,5.84723112556381e-12,3.18275421493758e-10,16.2740058206069
"45","BAP1",-8.05251936352555,5.37723707988577,-53.4115931911002,6.40111077761517e-12,3.29214140807501e-10,16.2287150458915
"46","RRP8",-9.54347438433566,6.52184006771777,-53.3683864327247,6.44458705164616e-12,3.29214140807501e-10,16.2253058964684
"47","NECAP2",-8.26793720611342,5.70945142163512,-53.352584710105,6.46056977785075e-12,3.29214140807501e-10,16.2240576493736
"48","KAT8",-7.55698353289672,5.26866560306254,-52.8467065941273,6.99645094167463e-12,3.43180751282402e-10,16.183684390129
"49","KIAA1328",-7.46346169211642,5.03685125433156,-52.7274385337316,7.12992366283531e-12,3.43180751282402e-10,16.1740482603802
"50","BAG4",-7.43937938318448,4.08169391822513,-52.696927024687,7.16452507896456e-12,3.43180751282402e-10,16.1715758343643
"51","SPAG5",-8.06285497852148,5.36733608321418,-52.3254610336469,7.60120453038492e-12,3.56958526475919e-10,16.1412349866589
"52","BET1",-10.5029545018477,7.21675575199141,-51.6178563103779,8.51794120915755e-12,3.92316715306391e-10,16.0821888263464
"53","TSPYL2",-9.53293268381475,6.43497878779532,-51.1055844422501,9.25887340456674e-12,4.18396260451648e-10,16.0383919852048
"54","PIK3R4",-7.5694896346839,5.14706090602181,-50.7845989130346,9.75977806776822e-12,4.32864230968609e-10,16.0104880891491
"55","SLIRP",-10.4376489771442,5.93660149303797,-50.6190988218668,1.00298406474942e-11,4.3675397001361e-10,15.9959597032484
"56","CDC25B",-8.25160952869135,5.4893240550038,-50.3346098250295,1.05138344705082e-11,4.43206667079268e-10,15.9707585786561
"57","RTEL1",-7.57220056953588,5.13676659638598,-50.2589757497838,1.06468676999264e-11,4.43206667079268e-10,15.9640098280181
"58","LSM12",-9.24403390170714,6.49924953674325,-50.2104627508125,1.07331885973267e-11,4.43206667079268e-10,15.9596701995238
"59","KDM2B",-8.79975366888172,5.75581560595183,-49.992602359942,1.1130612642508e-11,4.44797678451581e-10,15.9400766761981
"60","TLK1",-9.83679228989942,6.70386480601557,-49.9858681864747,1.11431568714384e-11,4.44797678451581e-10,15.9394682741507
"61","PQBP1",-6.67932215453872,4.69322986519219,-49.8259410800693,1.14457632679966e-11,4.49386934866423e-10,15.9249706934124
"62","ASXL1",-7.8247095002844,5.21083621034657,-49.1536688036047,1.28224099738548e-11,4.95317288506166e-10,15.8629875048214
"63","RPL23A",-8.07233548002322,5.54018544317319,-48.8181967960187,1.35779652474577e-11,5.16178202661289e-10,15.831415584607
"64","POM121C",-7.21422249701706,5.17200876490517,-48.5821821651336,1.41393663009525e-11,5.1976844767892e-10,15.8089423764938
"65","MFHAS1",-6.72045792729061,4.78152369151143,-48.5684828393157,1.41727412330578e-11,5.1976844767892e-10,15.8076312362728
"66","MAPRE2",-7.05758369697813,4.20604375292063,-48.5070588141302,1.43234728796696e-11,5.1976844767892e-10,15.8017433618153
"67","NOL6",-6.68030990171254,4.38324925257988,-48.207221447534,1.50854840275605e-11,5.36883488818729e-10,15.7727875498784
"68","TTF2",-6.97273736362187,4.66134787314974,-48.1471834109558,1.52434560499681e-11,5.36883488818729e-10,15.7669464704569
"69","STXBP5",-9.93346369150661,6.93899695962063,-47.7021014791731,1.64739832487781e-11,5.71814346098893e-10,15.7231898743298
"70","SYT11",-7.8847911320625,5.36914895415128,-47.6051710837778,1.67564716445581e-11,5.73310708410238e-10,15.713553148471
