,norm_19-C,norm_1-1ug-B,norm_1-A,norm_1-1ug-A,norm_19-A,norm_1-C,norm_19-B,norm_1-B,norm_1-1ug-C
DNAJC10,8.169925001442312,8.400879436282183,8.189824558880018,8.174925682500678,8.174925682500678,8.262094845370179,8.066089190457772,8.303780748177102,8.483815777264256
LEMD3,7.774787059601174,7.813781191217037,8.0,7.7414669864011465,7.794415866350106,7.882643049361842,7.994353436858858,7.851749041416057,8.060695931687555
DPM1,7.960001932068081,8.011227255423254,7.845490050944375,7.906890595608519,7.870364719583405,7.954196310386875,7.7414669864011465,8.011227255423254,7.965784284662087
CPSF4,8.108524456778168,8.189824558880018,8.189824558880018,8.03342300153745,8.005624549193879,8.339850002884624,8.280770770130603,8.194756854422248,8.400879436282183
AARS2,6.700439718141092,6.794415866350106,6.630813152299126,6.727920454563199,6.586464525886388,6.820178962415188,6.5576551547254205,6.672425341971495,6.7414669864011465
TACO1,7.936637939002571,8.044394119358454,7.954196310386875,8.098032082960527,7.78135971352466,8.087462841250339,7.86418614465428,7.721099188707186,8.08214904135387
ATP1B3,8.430452551665532,8.665335917185176,8.754887502163468,8.417852514885897,8.50382573799575,8.59245703726808,8.845490050944376,8.379378367071261,8.876516946565
TMEM263,8.679480099505446,9.121533517340032,8.672425341971495,8.618385502258606,8.584962500721156,9.564149489985732,8.622051819456376,8.710806433699352,8.74819284958946
VAC14,7.714245517666122,7.599912842187128,7.643856189774724,7.734709620225838,7.554588851677638,7.636624620543649,7.475733430966398,7.693486957499325,7.693486957499325
IVD,7.918863237274595,7.794415866350106,7.826548487290915,7.965784284662087,7.7414669864011465,7.774787059601174,7.727920454563199,7.906890595608519,7.832890014164741
EFL1,7.149747119504682,7.20945336562895,7.22881869049588,7.312882955284356,7.199672344836364,6.870364719583405,7.129283016944966,7.383704292474052,7.108524456778169
BCL6,6.447909748742077,6.283551423174307,6.646738698307846,6.4212232992251375,6.5530532527664125,6.727920454563199,6.5804470195986635,6.536052900240209,6.446256229889564
SLAIN1,7.507794640198696,7.400879436282184,7.562242424221073,7.60733031374961,7.467605550082998,7.426264754702098,7.303780748177103,7.554588851677638,7.622051819456376
PRMT3,7.569855608330948,7.294620748891627,7.592457037268081,7.499845887083206,7.426264754702098,7.321928094887363,7.400879436282184,7.515699838284043,7.409390936137702
CPT2,7.303780748177103,7.658211482751795,7.467605550082998,7.727920454563199,7.383704292474052,7.392317422778761,7.400879436282184,7.515699838284043,7.546894459887636
PROSC,8.219168520462162,8.224001674198105,8.266786540694902,8.29920801838728,8.159871336778389,8.076815597050832,8.113742166049189,8.243173983472952,8.113742166049189
EIF1AD,5.004501392234941,5.422905742612183,5.314696525656286,5.255500733148386,5.285402218862249,4.008988783227255,5.224966365000275,5.517275693209582,5.236492618381302
GOLGA4,7.098032082960526,7.312882955284356,7.189824558880018,7.05528243550119,7.1799090900149345,7.066089190457772,6.94251450533924,7.2761244052742375,7.22881869049588
