"Gene"	"norm_19.C"	"norm_1.1ug.B"	"norm_1.A"	"norm_1.1ug.A"	"norm_19.A"	"norm_1.C"	"norm_19.B"	"norm_1.B"	"norm_1.1ug.C"
"BYSL"	9.084808	8.965784	8.891784	9.019591	9.052568	8.751544	8.98014	8.930737	8.921841
"RPS26"	9.696968	9.571753	9.447083	9.543032	9.611025	9.299208	9.505812	9.618386	9.499846
"VPS26A"	8.971544	8.948367	9.084808	8.936638	8.991522	8.682995	8.98014	8.820179	8.897845
"USP36"	8.924813	8.903882	8.804131	8.820179	8.927778	8.285402	8.84549	8.771489	8.761551
"LAS1L"	8.686501	8.554589	8.523562	8.599913	8.693487	8.189825	8.611025	8.647458	8.5157
"NDE1"	8.918863	8.771489	8.754888	8.816984	8.915879	8.744834	8.717676	8.951285	8.599913
"WDR3"	8.962896	8.906891	8.962896	8.906891	8.83605	8.8009	9.038919	8.787903	9.036174
"RBM22"	9.645658	9.579316	9.481799	9.594325	9.726218	9.245553	9.481799	9.696968	9.236014
"TRA2A"	8.098032	8.179909	8.005625	8.060696	8.174926	7.820179	8.129283	7.97728	8.060696
"CHMP5"	9.079485	8.98014	8.861087	8.97728	9.02514	8.748193	8.98014	8.939579	8.873444
"TCL1A"	8.988685	9.139551	9.152285	9.394463	9.296916	7.857981	9.202124	9.044394	9.030667
"NELFA"	8.330917	8.189825	8.280771	8.252665	8.290019	8.016808	8.169925	8.134426	8.243174
"PQBP1"	9.068778	8.997179	8.885696	8.894818	9.044394	8.873444	9.016808	9.044394	8.942515
"RPL32"	8.906891	8.61471	8.643856	8.696968	8.778077	8.59619	8.804131	8.761551	8.577429
"STIM2"	6.794416	6.611763	6.520422	6.714246	6.586465	6.083213	6.672425	6.623516	6.72792
"MRPS23"	7.813781	7.813781	7.707359	7.714246	7.794416	7.554589	7.761551	7.643856	7.857981
"PAG1"	6.70044	6.942515	6.83289	6.83289	6.942515	6.672425	7.149747	6.78136	7.011227
"POLR2G"	9.019591	8.867279	8.622052	8.784635	8.891784	8.731319	8.611025	9.063395	8.67948
"CLNS1A"	6.918863	6.83289	6.754888	6.930737	6.918863	6.575917	6.672425	6.954196	6.754888
"DEF6"	7.409391	7.247928	7.285402	7.276124	7.483816	6.277985	7.159871	7.247928	7.189825
"HMGN3"	9.049849	8.98014	8.942515	8.864186	8.882643	8.851749	9.011227	8.807355	8.900867
"FBXO7"	8.451211	8.48784	8.290019	8.357552	8.499846	7.971544	8.33539	8.375039	8.266787
"LSM6"	8.531381	8.599913	8.471675	8.625709	8.629357	8.164907	8.640245	8.59619	8.463524
"UCK2"	9.008429	8.566054	8.839204	8.867279	8.994353	8.611025	8.954196	8.882643	8.675957
"TMCO1"	8.087463	8.204571	7.930737	8.169925	8.199672	7.357552	7.906891	8.219169	7.73471
"BLK"	7.761551	7.924813	7.562242	7.839204	7.721099	7.149747	7.523562	7.954196	7.622052
"ZNF24"	6.894818	7.055282	6.930737	6.906891	7.149747	5.865424	7.076816	7.108524	6.988685
