"","Identifier","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"1338","EZR",-0.841039051061278,8.4176192385236,-2.50961178394716,0.0351149152058009,0.0628551733317587,-4.79607379600836
"1339","PLIN3",-0.403245195138377,10.7733074868402,-2.50301361507015,0.0354855602008681,0.063471184974667,-4.80659042806671
"1340","SIPA1",-0.469543904384148,9.48411512497427,-2.50112351332302,0.0355924592859904,0.0636148805895127,-4.80960229821374
"1341","DLGAP4",-1.44584411143211,8.85145378778379,-2.49955176693507,0.0356816000892996,0.0637266459462136,-4.81210662731316
"1342","CAP1",-0.923956684100439,10.5302007723145,-2.49630186046613,0.03586663081702,0.0639752220984208,-4.81728413423066
"1343","TCF20",-0.513651692314816,9.36829654451479,-2.49616916961878,0.0358742059616614,0.0639752220984208,-4.81749550703469
"1344","RAB12",-0.89551080401411,8.34940763923891,-2.49331908990557,0.0360373027840563,0.0642182590534336,-4.82203521742233
"1345","PIP4P1",-1.08264546083392,5.79133372318097,-2.48830170903203,0.0363262404706199,0.0646850155592079,-4.83002527277654
"1346","PLEKHA2",-0.937344950556171,7.96036970528202,-2.48424205194123,0.0365617313419018,0.06505597813065,-4.83648846514342
"1347","SAMHD1",-0.726256358413748,9.81411931826033,-2.47971524981705,0.0368261322411022,0.0654777926632811,-4.84369354700668
"1348","MIEF1",0.37513510427085,8.66455579937189,2.47408983220092,0.0371573829160666,0.0660177537714981,-4.85264451106703
"1349","NF1",-0.78512646365232,9.86660190883132,-2.471527952893,0.0373092296969847,0.0662384026125117,-4.85671986721491
"1350","RBM15B",-0.504638165629768,9.37555614150227,-2.47065948669668,0.0373608465840396,0.0662809093102035,-4.85810125017211
"1351","CDC42EP3",-0.454692851661294,8.69571677240588,-2.46574236595189,0.0376544501361977,0.0667414260201677,-4.86592102549207
"1352","INCENP",-0.465071899002114,9.66644989343644,-2.46538027852398,0.0376761619955185,0.0667414260201677,-4.86649676421487
"1353","PPP1R12A",-0.634806483223684,11.4661928334141,-2.45916351457831,0.0380509062428225,0.0673554474882187,-4.87637970886096
"1354","PCLO",-0.554038961536119,7.57770787459128,-2.45759149442077,0.0381462587421572,0.0674743646140815,-4.87887817037333
"1355","BRWD1",-0.428120421636359,8.71448111035637,-2.45370352572306,0.0383831194838846,0.0678432259512205,-4.88505635857844
"1356","FASN",0.436481613691909,10.4739263416071,2.45213784077365,0.0384789198990463,0.0679623990842301,-4.88754387601426
"1357","BCKDK",1.02714211667525,7.39612824263456,2.44711408233475,0.0387879351063816,0.0684577041855445,-4.89552376748924
"1358","ARHGEF1",-0.62652561621982,7.27577821892536,-2.44117893501129,0.0391562214038212,0.0690568116805241,-4.90494792006784
"1359","APBB2",-0.462139193423527,7.33087391643577,-2.4392899260445,0.0392741721309448,0.0692138647929454,-4.90794660632729
"1360","PDE4A",1.1077483261689,8.13614845984998,2.43473875706803,0.0395598151763612,0.0696659980495478,-4.91516973244875
"1361","GPATCH8",-0.350855693406494,11.3275133424032,-2.43316708433393,0.0396589405482713,0.0697892451235193,-4.91766360104011
"1362","ATP11C",-1.28723928735742,7.56527115570468,-2.42151470528381,0.04040166283383,0.0710440400051563,-4.93614465240942
"1363","GRIPAP1",-0.530770419693491,8.8703819451796,-2.41809631186263,0.0406221833992515,0.0713794051659629,-4.94156345498678
"1364","ATM",-0.440344153447516,7.98591935112978,-2.4143325735011,0.0408663765817635,0.0717558445112342,-4.94752815781921
"1365","HNRNPD",-0.560585090170406,9.18635107672482,-2.4069460156112,0.041349900172922,0.0725516563473613,-4.95922949380023
"1366","BCL9",-0.590442461031942,7.66920545173708,-2.40470710735552,0.0414975864872833,0.0727574814326819,-4.96277498012194
"1367","KIF23",-0.889486950345076,7.24792277947413,-2.39516317241443,0.0421330791889353,0.07379596324339,-4.97788188286999
"1368","RAPGEF6",-0.325776320177139,10.2502486618418,-2.39488845793024,0.0421515147043664,0.07379596324339,-4.9783165613742
"1369","AGAP2",-0.706132345670548,8.91390515496872,-2.388326454991,0.0425942813609139,0.07451665731146,-4.98869684094568
"1370","EIF4H",-0.443520434608693,5.46331461498588,-2.38780385985081,0.042629742271047,0.0745242574738376,-4.98952329576142
"1371","TOMM70",0.516118641642997,9.67201863066328,2.38198469875596,0.0430266019563538,0.0751631740958915,-4.99872369165448
"1372","SRRM2",-0.439898140847459,13.1044166150791,-2.37255888635796,0.0436772731094493,0.0762296049287968,-5.01361739426968
"1373","BRIP1",0.653380970741134,8.26265560041186,2.37222171067944,0.0437007296731683,0.0762296049287968,-5.01414995593947
"1374","JDP2",-1.13511836485482,8.11272212065005,-2.37109322942137,0.0437793270833791,0.0763111269029788,-5.01593226176026
