Gene	norm_19-A	norm_19-C	norm_1-1ug-B	norm_19-B	norm_1-B	norm_1-C	norm_1-1ug-C	norm_1-1ug-A	norm_1-A
LLPH	8.124121312	7.918863237	7.714245518	8.271463028	7.857980995	7.948367232	7.672425342	7.8008999	7.882643049
KNSTRN	7.339850003	7.357552005	7.266786541	7.169925001	7.266786541	6.727920455	7.129283017	7.159871337	7.098032083
RPL37	8.8008999	8.816983623	8.622051819	8.764871591	8.566054038	8.13442632	8.45532722	8.668884984	8.554588852
TMEM97	6.057450272	6.439623138	6.283551423	6.376776572	6.116863758	6.157852169	6.298291731	6.175923742	6.14363831
PPP1R9B	4.412781525	4.602884409	4.439623138	4.722466024	4.378511623	3.776103988	4.66106548	5.004501392	4.572889668
EP400	6.569855608	6.54225805	6.441284272	6.354028938	6.352264173	6.307428525	6.390598906	6.285402219	6.114783447
MNAT1	7.276124405	7.22881869	7.044394119	7.087462841	7.266786541	6.520422249	6.95419631	7.247927513	6.988684687
SNX15	5.680886921	5.894817763	5.599912842	5.754887502	5.569855608	4.700439718	5.744161096	5.43629512	5.517275693
BRE	7.851749041	7.523561956	7.95419631	7.924812504	7.607330314	7.442943496	7.982993575	7.768184325	7.936637939
GSE1	4.385431037	4.078951341	3.733354341	3.744161096	3.827819025	4.285402219	3.689299161	3.972692654	3.857980995
GTSF1	5.762880293	5.972692654	5.54225805	5.977279923	5.956521363	5.263034406	5.725195817	5.694880193	5.733354341
NKAP	7.011227255	7.011227255	6.894817763	6.548436625	6.768184325	6.820178962	6.781359714	6.930737338	6.768184325
CLIP1	4.459431619	4.343407822	4.770829046	4.371558863	4.255500733	0	4.03562391	4.209453366	4.03562391
PEO1	4.596935142	4.54225805	4.478971805	4.292781749	4.498250868	4.307428525	4.485426827	4.343407822	3.857980995
KMT5A	4.968090752	4.812498225	5.053111336	4.930737338	4.705977902	5.456149035	5.141596278	4.44625623	4.602884409
PRPF18	3.247927513	3.292781749	2.807354922	2.201633861	3.03562391	4.307428525	3	3.247927513	2.485426827
SLC35A2	5.700439718	5.590961241	5.605849867	5.596935142	5.498250868	5.070389328	5.426264755	5.520422249	5.361066489
LIPE	5.847996907	5.918863237	5.789207575	5.933100475	5.82527683	5.495055528	5.885086225	5.754887502	5.678071905
GNL2	10.32305476	10.37829486	10.07815081	10.24198315	10.18115226	9.949826711	10.09143539	10.10459875	10.06474276
NACA	9.631177056	9.46760555	9.240791332	9.554588852	9.303780748	9.17990909	9.310612782	9.390168956	9.385862401
