Gene	"Gr2_F2: 128N, Control, 781"	"Gr1_F1: 128C, Sample, 4"	"Gr1_F2: 126, Sample, 1"	"Gr1_F1: 126, Sample, 1"	"Gr1_F3: 128C, Sample, 4"	"Gr1_F2: 128C, Sample, 4"	"Gr2_F1: 128N, Control, 781"	"Gr2_F3: 128N, Control, 781"	"Gr1_F3: 126, Sample, 1"
POLDIP3	8.236970886	8.268191079	9.217230716	9.25337478	8.69034725	8.382840144	8.579315938	8.396176618	9.48703608
RAB7A	7.739443098	7.795065583	9.084808388	8.588714636	7.976134473	8.372429792	7.62497818	7.509379149	8.795715007
ANKIB1	7.750204509	7.752213368	5.807354922	5.678071905	8.491853096	7.094869433	8.518062976	8.596189756	6.529820947
SP140	8.232181058	7.492654371	7.998872454	7.651769271	7.896029603	7.97441459	7.501439145	7.843607046	7.73470962
TMEM238	7.998872454	8.151777655	8.936048964	8.819221104	8.322829498	8.306517445	8.435878577	7.888134388	9.047123912
CEP131	9.069046911	8.833838844	7.752882366	8.852997588	9.404077136	7.586464526	8.414896604	7.902073579	9.622417939
SMN1	8.00337736	7.808642468	7.412781525	8.174426394	7.906289347	7.359310317	7.608069968	7.476543706	8.096451624
PINX1	7.417008587	6.744161096	7.292781749	7.09592442	6.400879436	6.897240426	7.140574178	7.243173983	7.048759312
ILF2	7.882643049	7.834787049	8.942221245	8.326429487	8.214319121	8.47208155	8.730639956	8.525129251	8.838573653
PRKD2	7.323730338	7.558420713	7.548436625	7.842978832	7.854245054	7.38024459	7.089582893	6.648177796	8.121015401
PCIF1	8.411934625	8.417008587	8.782998209	9.036723106	7.80928581	8.241268177	7.464341533	8.649974651	8.483815777
MLLT3	8.040563711	7.477353527	10.1382718	8.338067798	9.278914019	9.287943192	7.9795681	7.722466024	10.15646235
USP11	8.252665432	7.100136671	7.581953751	7.374170076	7.421223299	7.424586226	7.925999419	8.202123824	7.617651119
SMG9	8.24697806	8.370687407	6.345183447	5.557655155	8.314243347	9.025139562	8.079484784	8.233619677	4.727920455
AFTPH	7.033423002	8.002252452	5.904484098	5.993221467	7.840463234	8.222070355	7.762880293	7.784634846	6.135452784
KIF20B	7.495855027	7.766197597	8.017921908	8.159871337	6.799605422	7.559950613	7.447083226	7.316507819	7.01346226
APPL1	7.410239331	8.574404309	7.602884409	8.616181231	7.708739041	7.374170076	8.162391329	8.644937806	7.955940451
TRAPPC12	8.615445725	7.894817763	8.054197294	6.933100475	7.592457037	8.988116585	8.6043679	7.777419716	7.074676686
EPN1	7.86727874	7.664625055	6.738767837	7.402585758	7.465974465	7.011227255	6.782670659	8.047123912	6.980710829
ATP11C	5.429615964	7.943686952	7.945443836	8.416586438	7.727920455	7.417008587	7.432959407	7.705977902	8.068240861
FBXW11	7.92243574	7.869748051	4.270528942	5.087462841	7.857980995	6.285402219	7.77478706	7.832890014	5.01346226
CCDC97	7.822730148	8.180903709	5.933100475	5.10433666	8.325979979	7.721782768	7.825912799	7.543805176	5.672425342
ZC3H12D	7.999436337	8.603626345	8.03562391	8.088523257	7.059614856	8.624612709	8.541871009	8.130827934	6.626439137
OGA	7.970393538	7.830990481	7.605849867	7.962317655	7.984703267	7.640244936	8.157852169	7.87897051	7.936048964
BIRC2	7.915281866	8.395748328	7.976134473	8.7478573	6.371558863	7.693486957	7.952450058	7.767522386	6.642412773
TRA2B	7.422905743	9.427941333	6.64096791	6.821455119	8.855179947	9.33516701	8.349612972	7.701133155	6.493455201
