Gene,norm_19-A,norm_19-C,norm_1-1ug-B,norm_19-B,norm_1-B,norm_1-C,norm_1-1ug-C,norm_1-1ug-A,norm_1-A
ZC3H12D,7.20945336562895,7.066089190457772,7.087462841250339,6.94251450533924,7.2761244052742375,6.807354922057604,7.159871336778389,7.129283016944966,7.044394119358453
ARHGAP25,8.044394119358454,8.044394119358454,8.022367813028454,8.005624549193879,8.108524456778168,8.016808287686555,8.113742166049189,8.154818109052105,7.971543553950772
COIL,8.832890014164741,8.791162888555018,8.81698362325538,8.839203788096944,8.912889336229961,8.64745842645492,8.754887502163468,8.703903573444663,8.81698362325538
ZNHIT2,5.281698250098829,5.314696525656286,4.949534933017012,5.066089190457772,5.364572432295856,3.877744249949002,4.986410935252045,5.442943495848728,5.2630344058337934
NHLRC2,8.184875342908283,8.233619676759702,8.224001674198105,8.348728154231077,8.219168520462162,8.262094845370179,8.312882955284355,8.483815777264256,8.139551352398794
PDRG1,7.826548487290915,8.03342300153745,7.826548487290915,7.876516946564999,7.977279923499917,7.442943495848728,7.679480099505446,7.876516946564999,7.857980995127572
CHP1,8.409390936137703,8.312882955284355,8.247927513443585,8.174925682500678,8.383704292474052,8.29920801838728,8.179909090014934,8.149747119504681,8.204571144249204
RDH14,8.038918989292302,8.103287808412022,8.134426320220927,8.071462362556623,8.124121311829187,8.044394119358454,8.179909090014934,8.108524456778168,8.055282435501189
ECI2,8.169925001442312,8.184875342908283,8.312882955284355,8.011227255423254,8.29920801838728,7.977279923499917,8.290018846932618,8.375039431346925,8.149747119504681
CHAF1A,8.588714635582264,8.672425341971495,8.543031820255237,8.622051819456376,8.791162888555018,8.189824558880018,8.59245703726808,8.523561956057012,8.603626344986193
THUMPD3,7.894817763307944,7.965784284662087,7.9886846867721655,7.900866807980749,7.894817763307944,7.426264754702098,7.813781191217037,8.113742166049189,7.882643049361842
