,"Gr1_F2: 126, Sample, 1","Gr1_F1: 126, Sample, 1","Gr1_F2: 128C, Sample, 4","Gr2_F2: 128N, Control, 781","Gr1_F1: 128C, Sample, 4","Gr2_F1: 128N, Control, 781","Gr1_F3: 126, Sample, 1","Gr2_F3: 128N, Control, 781","Gr1_F3: 128C, Sample, 4"
ABLIM1,11.7825478081604,12.157915310925272,11.593764587728042,11.534886457615647,11.853426525935276,11.768184324776927,11.921357478873837,11.910830081296574,11.575633784696423
THRAP3,10.484218708433163,10.506704280089783,11.826905939022788,11.748360595074317,11.961160258136639,11.909593115988342,10.144913113434239,11.92035285541508,11.667244625884992
EVL,12.920092283244898,12.743929768060717,12.277752335693803,12.02769869790714,12.10937361966378,12.379351289207525,12.996650019175894,11.994494870616228,12.329628182146044
CDK1,12.669283708504318,12.306488964728633,12.162580150829145,12.050290817397183,11.859767710803828,12.0731708636929,12.296916206879288,12.128187698771857,11.774210525166747
NOLC1,13.07240061364987,13.259184199310042,12.760054574438314,12.59114830066745,12.90258238336662,12.841289148043497,12.940166750482817,12.686938171670388,12.596236354068894
MYH9,9.143893360756412,9.001971087509933,12.70336289396418,12.418063419796864,12.796283012655822,12.822152540114653,9.180406485310636,12.539352708701346,12.659772961881611
SUGP2,11.779185836838106,12.050596923495297,10.86054385405522,10.056095756038124,11.150445438386978,10.473908646046286,11.59521085189649,10.680535344005172,10.746682261891914
LSM14A,12.659572294930749,12.686894413195404,12.325333566566401,12.105679387263717,12.293873937975173,12.323645907672551,12.781236751321007,12.259007607644609,12.40357130577173
ARFGAP2,11.149175516170489,11.347566006990165,10.613329054371054,11.052364265926226,10.860388658805403,11.179287104646004,11.205426726541084,11.123862741160714,10.685800019744892
ACLY,11.847292293578361,12.169016769521079,11.364572432295857,11.70269216987247,11.664802803288284,11.64403651538472,12.419091139947994,11.993681437097333,11.887258700896005
BCLAF1,12.874558771249795,12.7566605597295,12.130731425273218,12.111363926708703,12.046407841338416,11.896597302602732,12.694988982664556,12.208264846078526,11.933248042572359
