"","feature","sample","value","view"
"107","RP11-342M1.3","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"108","RP11-342M1.6","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"109","RP5-848E13.3","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"110","CFAP57","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"111","RP1-92O14.3","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"112","RP1-92O14.6","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"113","ARTN","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"114","RP11-7O11.3","1% O2, CyA-",0.516790985929653,"Transcriptomics"
"115","SNORD38A","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"116","BTBD19","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"117","PTCH2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"118","RP11-69J16.4","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"119","LINC01144","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"120","AL355480.1","1% O2, CyA-",0,"Transcriptomics"
"121","RP11-735A5.1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"122","TSPAN1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"123","RP4-603I14.3","1% O2, CyA-",0,"Transcriptomics"
"124","FAAH","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"125","RP5-1109J22.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"126","RP11-8J9.4","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"127","RP11-511I2.2","1% O2, CyA-",0.476753272409049,"Transcriptomics"
"128","RP11-252A4.2","1% O2, CyA-",0,"Transcriptomics"
"129","RP11-93G23.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"130","RP11-183G22.2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"131","RP11-253A20.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"132","RP11-191G24.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"133","RP4-800M22.3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"134","GPX7","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"135","FAM159A","1% O2, CyA-",0.304470188304733,"Transcriptomics"
"136","RP5-1024G6.7","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"137","RP5-1024G6.5","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"138","RP4-784A16.2","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"139","RP4-784A16.3","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"140","RP11-117D22.2","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"141","RP4-654H19.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"142","DIO1","1% O2, CyA-",0,"Transcriptomics"
"143","RP4-758J24.6","1% O2, CyA-",0,"Transcriptomics"
"144","SSBP3-AS1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"145","ACOT11","1% O2, CyA-",0,"Transcriptomics"
"146","TTC22","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"147","RP11-67L3.4","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"148","RP4-792G4.2","1% O2, CyA-",0,"Transcriptomics"
"149","RP4-792G4.3","1% O2, CyA-",0,"Transcriptomics"
"150","RN7SL130P","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"151","RP4-535B20.2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"152","IL12RB2","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"153","RP5-817C23.1","1% O2, CyA-",0,"Transcriptomics"
"154","GNG12","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"155","RP5-1033K19.1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"156","RP4-629B2.1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"157","PIN1L","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"158","RP11-428K13.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"159","MIR186","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"160","FPGT-TNNI3K","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"161","AK5","1% O2, CyA-",0,"Transcriptomics"
"162","RP4-706L14.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"163","RP11-181C21.6","1% O2, CyA-",0,"Transcriptomics"
"164","NEXN-AS1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"165","NEXN","1% O2, CyA-",0,"Transcriptomics"
"166","RP11-386I14.4","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"167","IFI44","1% O2, CyA-",0,"Transcriptomics"
"168","RP11-115A15.2","1% O2, CyA-",0,"Transcriptomics"
"169","TTLL7","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"170","RP11-486G15.2","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"171","RP11-486G15.1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"172","SPATA1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"173","RP11-118B23.6","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"174","LPAR3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"175","MCOLN3","1% O2, CyA-",0,"Transcriptomics"
"176","RP11-131L23.1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"177","CYR61","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"178","RP5-1052I5.1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"179","RP11-82K18.2","1% O2, CyA-",0,"Transcriptomics"
"180","GBP1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"181","GBP4","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"182","RP4-644F6.3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"183","RP11-413E1.4","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"184","RP4-593M8.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"185","SNORA66","1% O2, CyA-",0,"Transcriptomics"
"186","RP11-386I23.1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"187","RP4-612C19.1","1% O2, CyA-",0,"Transcriptomics"
"188","RP4-713B5.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"189","FNBP1L","1% O2, CyA-",0.349507803453971,"Transcriptomics"
"190","RP4-561L24.3","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"191","RP11-148B18.2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"192","CNN3","1% O2, CyA-",0,"Transcriptomics"
"193","RP11-57H12.5","1% O2, CyA-",0.349507803453971,"Transcriptomics"
"194","RP4-714D9.5","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"195","RP4-714D9.4","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"196","RP11-305E17.6","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"197","RP11-84O12.3","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"198","RP11-421L21.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"199","RP4-575N6.3","1% O2, CyA-",0,"Transcriptomics"
"200","AMY1A","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"201","AMY1B","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"202","AMYP1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"203","AMY1C","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"204","NTNG1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"205","RP5-964H19.2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"206","RP11-20O24.2","1% O2, CyA-",0,"Transcriptomics"
"207","GPR61","1% O2, CyA-",0,"Transcriptomics"
"208","GSTM4","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"209","CSF1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"210","RP5-1003J2.3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"211","RP5-1125M8.6","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"212","TMIGD3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"213","ADORA3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"214","FAM212B","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"215","KCND3","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"216","RHOC","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"217","PPM1J","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"218","RP11-426L16.7","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"219","AKR7A2P1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"220","RP11-31F15.2","1% O2, CyA-",0,"Transcriptomics"
"221","RP5-1073O3.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"222","RP5-1073O3.7","1% O2, CyA-",0.349507803453971,"Transcriptomics"
"223","RP4-591B8.2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"224","RP11-343L14.1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"225","RP11-710N8.2","1% O2, CyA-",0,"Transcriptomics"
"226","RF00012","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"227","AL365331.2","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"228","SPAG17","1% O2, CyA-",0,"Transcriptomics"
"229","RP4-610L12.1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"230","RP11-418J17.2","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"231","RP4-599G15.4","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"232","RP4-599G15.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"233","RP5-1042I8.2","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"234","RP5-1042I8.7","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"235","RP11-114O18.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"236","CH17-472G23.1","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"237","RF00100","1% O2, CyA-",0.304470188304733,"Transcriptomics"
"238","RF00003","1% O2, CyA-",0.304470188304733,"Transcriptomics"
"239","CH17-118O6.7","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"240","HIST2H2BA","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"241","RP11-343N15.1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"242","RP11-344P13.4","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"243","RP11-344P13.1","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"244","CH17-333M13.2","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"245","CH17-248H7.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"246","RNVU1-15","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"247","PFN1P6","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"248","CH17-262O2.1","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"249","CD160","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"250","RP11-315I20.1","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"251","RP11-94I2.4","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"252","PFN1P4","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"253","XXYAC-YX155B6.5","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"254","RP11-495P10.9","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"255","RP11-495P10.3","1% O2, CyA-",0,"Transcriptomics"
"256","RNU1-68P","1% O2, CyA-",0,"Transcriptomics"
"257","HIST2H3D","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"258","HIST2H3C","1% O2, CyA-",0.55574750939508,"Transcriptomics"
"259","HIST2H3A","1% O2, CyA-",0.55574750939508,"Transcriptomics"
"260","CH17-55D9.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"261","CA14","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"262","LINC00568","1% O2, CyA-",0,"Transcriptomics"
"263","ADAMTSL4","1% O2, CyA-",0,"Transcriptomics"
"264","RF00015","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"265","HORMAD1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"266","RP11-316M1.3","1% O2, CyA-",0,"Transcriptomics"
"267","OAZ3","1% O2, CyA-",0.349507803453971,"Transcriptomics"
"268","RP11-98D18.3","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"269","RP11-98D18.17","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"270","RP1-91G5.1","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"271","S100A4","1% O2, CyA-",0,"Transcriptomics"
"272","S100A1","1% O2, CyA-",0.393181906361246,"Transcriptomics"
"273","RP11-422P24.12","1% O2, CyA-",0.257981171499655,"Transcriptomics"
"274","RP11-422P24.10","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"275","RAB13","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"276","RP11-422P24.9","1% O2, CyA-",0.209944082040261,"Transcriptomics"
"277","C1ORF189","1% O2, CyA-",0,"Transcriptomics"
"278","RP11-61L14.2","1% O2, CyA-",0.160252257019636,"Transcriptomics"
"279","RP11-307C12.13","1% O2, CyA-",0,"Transcriptomics"
"280","RP11-307C12.12","1% O2, CyA-",0.108787615318173,"Transcriptomics"
"281","MIR4258","1% O2, CyA-",0.0554189673520599,"Transcriptomics"
"282","DCST1","1% O2, CyA-",0.160252257019636,"Transcriptomics"
